tree,n,executionTimeNs,averageNodesVisited,averageReportedKeys,rotations
AVL_NodeTree,10000,5864100,1015.4290,1002.2160,0
AVL_LeafTree,10000,4433000,1016.6530,1002.2160,0
AVL_NodeTree,50000,6192500,1015.9090,1000.3370,0
AVL_LeafTree,50000,4673300,1017.1250,1000.3370,0
AVL_NodeTree,100000,6261600,1016.2370,999.4930,0
AVL_LeafTree,100000,4492200,1017.3150,999.4930,0
AVL_NodeTree,500000,8040000,1019.9000,1000.5450,0
AVL_LeafTree,500000,6667400,1020.8900,1000.5450,0
