tree,n,executionTimeNs,averageNodesVisited,averageReportedKeys,rotations
AVL_NodeTree,10000,27911000,5028.8480,5016.5860,0
AVL_LeafTree,10000,25089300,5031.2030,5016.5860,0
AVL_NodeTree,50000,33374800,5017.3070,5001.7510,0
AVL_LeafTree,50000,26777300,5018.6120,5001.7510,0
AVL_NodeTree,100000,36694300,5012.5820,4995.9400,0
AVL_LeafTree,100000,26960700,5013.8740,4995.9400,0
AVL_NodeTree,500000,44682300,5022.0010,5002.8230,0
AVL_LeafTree,500000,36774200,5023.1580,5002.8230,0
