tree,n,executionTimeNs,averageNodesVisited,averageReportedKeys,rotations
AVL_NodeTree,10000,1164400,113.2880,99.9890,0
AVL_LeafTree,10000,492400,114.4650,99.9890,0
AVL_NodeTree,50000,919400,116.1830,100.3020,0
AVL_LeafTree,50000,630300,117.1020,100.3020,0
AVL_NodeTree,100000,959200,116.4770,99.6780,0
AVL_LeafTree,100000,625600,117.4970,99.6780,0
AVL_NodeTree,500000,1053100,119.4470,100.0650,0
AVL_LeafTree,500000,643100,120.4410,100.0650,0
