tree,n,executionTimeNs,averageNodesVisited,averageReportedKeys,rotations
AVL_NodeTree,10000,344200,23.4600,9.9980,0
AVL_LeafTree,10000,267600,24.4490,9.9980,0
AVL_NodeTree,50000,181200,25.6680,10.0040,0
AVL_LeafTree,50000,136200,26.7830,10.0040,0
AVL_NodeTree,100000,201300,27.0780,10.1020,0
AVL_LeafTree,100000,148300,27.9630,10.1020,0
AVL_NodeTree,500000,249800,29.3580,10.0350,0
AVL_LeafTree,500000,182900,30.4140,10.0350,0
