tree,n,executionTimeNs,averageNodesVisited,averageReportedKeys,rotations
AVL_NodeTree,10000,2160200,0.0000,0.0000,3555
AVL_LeafTree,10000,5376300,0.0000,0.0000,6179
AVL_NodeTree,50000,2241700,0.0000,0.0000,1976
AVL_LeafTree,50000,8725000,0.0000,0.0000,4491
AVL_NodeTree,100000,5327200,0.0000,0.0000,1887
AVL_LeafTree,100000,6371300,0.0000,0.0000,4864
AVL_NodeTree,500000,7532600,0.0000,0.0000,3576
AVL_LeafTree,500000,16237000,0.0000,0.0000,7324
