tree,n,executionTimeNs,averageNodesVisited,averageReportedKeys,rotations
AVL_NodeTree,10000,655400,0.0000,0.0000,0
AVL_LeafTree,10000,593600,0.0000,0.0000,0
AVL_NodeTree,50000,427300,0.0000,0.0000,0
AVL_LeafTree,50000,1752200,0.0000,0.0000,0
AVL_NodeTree,100000,809900,0.0000,0.0000,0
AVL_LeafTree,100000,1059100,0.0000,0.0000,0
AVL_NodeTree,500000,5845700,0.0000,0.0000,0
AVL_LeafTree,500000,4967200,0.0000,0.0000,0
